candidate_rank,id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,candidate_group,candidate_group_cn,expected_best_image_route,symbolic_hu_overlap,selection_tag,selection_reason
1,1539090,"10,239,480,548",维达抽纸纸巾150抽24包S号整箱实惠装餐巾纸抽卫生纸面巾纸擦手纸,https://img.alicdn.com/bao/uploaded/bao/upload/O1CN011Q8OxA1EomjB5VQgb_!!6000000000399-2-yinhe.png,Vinda/维达,67.9,满29减2,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
2,1564218,102386,佳帮手2025新款免手洗平板拖把家用一拖净干湿两用地拖布拖地神器,https://img.alicdn.com/bao/uploaded/O1CN01TdxH6o1ypgANvUOmr_!!6000000006628-0-yinhe.jpg,佳帮手,29.7,,家庭/个人清洁工具,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
3,497385,102386,[129W升级款]海尔超薄洗烘套装10kg家用滚筒洗衣机热泵烘干机519W,https://img.alicdn.com/bao/uploaded/O1CN01aCsE1P1CKtzE4wxQ2_!!6000000000063-0-yinhe.jpg,Haier/海尔,3899,补贴300元,大家电,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
4,65159,null,惠普178nw彩色激光多功能打印机一体机手机无线wifi可连接网络A4复印扫描家用商务商用办公专用三合一179fnw,https://img.alicdn.com/bao/uploaded/O1CN01MbDWrx1xjtDm3FdKH_!!6000000006480-0-yinhe.jpg,HP/惠普,3299,1件8折,办公设备/耗材/相关服务,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
5,497408,"6,102,386",美的电饭煲家用青瓷飞快奶油电饭锅5升容量快煮不粘4-8人官方正品,https://img.alicdn.com/bao/uploaded/O1CN01TvhkpJ1sjpP2aSOpg_!!6000000005803-0-yinhe.jpg,Midea/美的,289,官方立减160元,厨房电器,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
6,1552914,104460,美的电热水壶1.7L大容量家用烧水热水壶304不锈钢自动断电电水壶,https://img.alicdn.com/bao/uploaded/O1CN01PshbPj1VE0hzBishX_!!6000000002620-0-yinhe.jpg,Midea/美的,62.8,,厨房电器,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
7,39727,"1,002,006,110,046",鱼跃电子血压计充电血压测量仪家用高精准测压仪器正品官方旗舰店,https://img.alicdn.com/bao/uploaded/O1CN01jL3f8X1iaX2jbcQxg_!!6000000004429-0-yinhe.jpg,鱼跃,90,满118减10,医疗器械,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
8,74679,null,【618开抢】滴露衣物除菌液杀菌除螨洗衣专用非消毒水衣物消毒液,https://img.alicdn.com/bao/uploaded/O1CN01F19MvL1HXmvkQRSG7_!!6000000000768-0-yinhe.jpg,Dettol/滴露,189.7,满250减26,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,,paper_cleaning_consumables,高频日用/清洁消耗品，购买主要为卫生、清洁或基础照护任务。
9,22482,"10,238,661,305",【王一博同款】得宝品位合YI套组-YIBO联名款抽纸90抽24包/箱*2箱,https://img.alicdn.com/bao/uploaded/O1CN01z1Z4hf1drs5UIdWyk_!!6000000003790-0-yinhe.jpg,Tempo/得宝,170,满400减175,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,,paper_cleaning_consumables,高频日用/清洁消耗品，购买主要为卫生、清洁或基础照护任务。
10,1240853,"6,104,460",洁云平板卫生纸加韧2层200抽(400张)36包方包纸厕纸抽纸整箱草纸,https://img.alicdn.com/bao/uploaded/O1CN01F6sHA51DYTJRDkr4g_!!6000000000228-2-yinhe.png,洁云,169,,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,,paper_cleaning_consumables,高频日用/清洁消耗品，购买主要为卫生、清洁或基础照护任务。
11,1559561,102386,持久留香经典棉麻酵素洗衣液家用护色 THE LAUNDRESS,https://img.alicdn.com/bao/uploaded/O1CN01Fu9KYd23ekneUE7R8_!!6000000007281-0-yinhe.jpg,the Laundress,167,官方8.8折,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,,paper_cleaning_consumables,高频日用/清洁消耗品，购买主要为卫生、清洁或基础照护任务。
12,21080,102386,【618抢购】汉高Persil宝莹9大酵素洗衣液可洗洗衣机8.8斤装,https://img.alicdn.com/bao/uploaded/O1CN01XBPcBF1moVaaaoQIm_!!6000000005001-0-yinhe.jpg,Persil/宝莹,166,满200减20,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,,paper_cleaning_consumables,高频日用/清洁消耗品，购买主要为卫生、清洁或基础照护任务。
13,1234488,102386,爱特福84消毒液2.5L*6瓶家居清洁杀菌消毒水多用途家庭囤货实惠,https://img.alicdn.com/bao/uploaded/O1CN0151D58e1TgkLifcqnv_!!6000000002412-0-yinhe.jpg,爱特福84,164.9,下单立减35元,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,,paper_cleaning_consumables,高频日用/清洁消耗品，购买主要为卫生、清洁或基础照护任务。
14,110464,null,新品Tempo得宝黄油小熊联名四层加厚抽纸家用纸巾90抽45包抽纸,https://img.alicdn.com/bao/uploaded/O1CN01CpKBE61tWNPMltXJG_!!6000000005909-0-yinhe.jpg,Tempo/得宝,164.63,满200减5,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,,paper_cleaning_consumables,高频日用/清洁消耗品，购买主要为卫生、清洁或基础照护任务。
15,1559457,102386,麦桶桶智能感应垃圾桶家用卫生间厕所带马桶刷一体自动不锈钢窄缝,https://img.alicdn.com/bao/uploaded/O1CN01n5iXWh1ONtyoMGThB_!!6000000001694-0-yinhe.jpg,MR.Bin/麦桶桶,291.75,补贴82元,家庭/个人清洁工具,1,strict_utilitarian,严格实用型,functional,,cleaning_storage_tools,清洁/收纳工具，核心价值是效率、省力、整洁和任务完成。
16,1563246,102386,EKO卫生间智能垃圾桶感应式家用厕所电动客厅夹缝款垃圾桶太空堡,https://img.alicdn.com/bao/uploaded/O1CN01P4aU231CYBPbyr3YP_!!6000000000092-0-yinhe.jpg,EKO,288,满300减18,家庭/个人清洁工具,1,strict_utilitarian,严格实用型,functional,,cleaning_storage_tools,清洁/收纳工具，核心价值是效率、省力、整洁和任务完成。
17,93896,null,EKO卫生间智能垃圾桶感应式家用厕所电动客厅夹缝款垃圾筒太空堡,https://img.alicdn.com/bao/uploaded/O1CN01P4aU231CYBPbyr3YP_!!6000000000092-0-yinhe.jpg,EKO,283.1,补贴114.9元,家庭/个人清洁工具,1,strict_utilitarian,严格实用型,functional,,cleaning_storage_tools,清洁/收纳工具，核心价值是效率、省力、整洁和任务完成。
18,1555799,104460,五月花刮刮桶免手洗平板拖把干湿两用洗脱合一拖布家用墩布懒地拖,https://img.alicdn.com/bao/uploaded/O1CN01cPsRjO1RNqefykgeN_!!6000000002100-0-yinhe.jpg,五月花,199,,家庭/个人清洁工具,1,strict_utilitarian,严格实用型,functional,,cleaning_storage_tools,清洁/收纳工具，核心价值是效率、省力、整洁和任务完成。
19,1559906,102386,苏泊尔智能垃圾桶全自动感应式家用客厅厨房轻奢卫生间厕所打包,https://img.alicdn.com/bao/uploaded/O1CN01atZo1U1YYZNuoWIvG_!!6000000003071-0-yinhe.jpg,Supor/苏泊尔,199,官方立减70元,家庭/个人清洁工具,1,strict_utilitarian,严格实用型,functional,,cleaning_storage_tools,清洁/收纳工具，核心价值是效率、省力、整洁和任务完成。
20,19731,"5,102,386",苏泊尔智能垃圾桶全自动感应式家用客厅厨房轻奢卫生间厕所打包,https://img.alicdn.com/bao/uploaded/O1CN01mEHvI11sYpurfKrPj_!!6000000005779-0-yinhe.jpg,Supor/苏泊尔,189,满99减10,家庭/个人清洁工具,1,strict_utilitarian,严格实用型,functional,,cleaning_storage_tools,清洁/收纳工具，核心价值是效率、省力、整洁和任务完成。
21,57276,null,【卡萨帝指挥家】13kg大容量平嵌洗衣机热泵烘干机组合洗烘套装LC,https://img.alicdn.com/bao/uploaded/O1CN01Kn2Hv31P0NCN2NIgP_!!6000000001778-0-yinhe.jpg,Casarte/卡萨帝,24630,官方8.5折,大家电,1,strict_utilitarian,严格实用型,functional,,major_appliances,大家电，评价重点是性能、容量、能效和耐用性。
22,99330,null,【新品小幸熨】西门子10KG除皱超氧热泵自清洁变频iQ500洗烘套装,https://img.alicdn.com/bao/uploaded/O1CN01nxugfr1kPCeKbH7A0_!!6000000004675-0-yinhe.jpg,SIEMENS/西门子,14390,补贴4500元,大家电,1,strict_utilitarian,严格实用型,functional,,major_appliances,大家电，评价重点是性能、容量、能效和耐用性。
23,103443,null,【新品】博世6系Modena摩德纳除皱活氧10KG洗烘套装洗衣机烘干机,https://img.alicdn.com/bao/uploaded/O1CN01oVSmz91i2BVx59Qkr_!!6000000004354-0-yinhe.jpg,Bosch/博世,14390,满17988减899,大家电,1,strict_utilitarian,严格实用型,functional,,major_appliances,大家电，评价重点是性能、容量、能效和耐用性。
24,1550148,102386,【小幸熨】西门子10KG除皱超氧热泵自清洁变频平嵌iQ500洗烘套装,https://img.alicdn.com/bao/uploaded/O1CN01nxugfr1kPCeKbH7A0_!!6000000004675-0-yinhe.jpg,SIEMENS/西门子,14380,满18890减2243,大家电,1,strict_utilitarian,严格实用型,functional,,major_appliances,大家电，评价重点是性能、容量、能效和耐用性。
25,98100,null,换新补贴【卡萨帝揽光PRO新品】13kg热泵式洗烘一体懒人洗衣机W13,https://img.alicdn.com/bao/uploaded/O1CN01UJhuFK1NPRhZ0A1mE_!!6000000001562-0-yinhe.jpg,Casarte/卡萨帝,13499,满500.01减500,大家电,1,strict_utilitarian,严格实用型,functional,,major_appliances,大家电，评价重点是性能、容量、能效和耐用性。
26,50309,null,[海尔X11]洗烘套装净护精华洗直驱双擎热泵三变频家用洗衣机87W,https://img.alicdn.com/bao/uploaded/O1CN01JKQ31A1P42QF8JIrQ_!!6000000001786-0-yinhe.jpg,Haier/海尔,13298,官方8.5折,大家电,1,strict_utilitarian,严格实用型,functional,,major_appliances,大家电，评价重点是性能、容量、能效和耐用性。
27,29202,102386,【以旧换新补贴】东芝大白桃Pro零嵌制冰双系统一级家用电冰箱483,https://img.alicdn.com/bao/uploaded/O1CN01LGmjlK1Ma9ISvmiVH_!!6000000001450-0-yinhe.jpg,Toshiba/东芝,13199,满9999减5850,大家电,1,strict_utilitarian,严格实用型,functional,,major_appliances,大家电，评价重点是性能、容量、能效和耐用性。
28,105198,6,海尔中央空调5匹一拖三/四/五家用云舒Pro多联机三菱压缩机旗舰店,https://img.alicdn.com/bao/uploaded/O1CN01i9yrgl21U6LkJ2ghV_!!6000000006987-0-yinhe.jpg,Haier/海尔,12969,满50减30,大家电,1,strict_utilitarian,严格实用型,functional,,major_appliances,大家电，评价重点是性能、容量、能效和耐用性。
29,75347,null,TIGER/虎牌PIE-A40C无蒸汽VE真空保温电热水瓶家用恒温电烧水壶4L,https://img.alicdn.com/bao/uploaded/O1CN01q2rDvY1bLglUlNmlI_!!6000000003449-0-yinhe.jpg,TIGER/虎牌,2886.47,1件9.11折,厨房电器,1,strict_utilitarian,严格实用型,functional,,kitchen_appliances,厨房功能电器，主要服务烹饪、加热、备餐等实用任务。
30,34794,110046,TIGER虎牌JPM-H10C压力IH土锅涂层电饭煲家用3L多功能柴火饭3-4人,https://img.alicdn.com/bao/uploaded/O1CN01RGZnQR1HxtUWYDizG_!!6000000000825-0-yinhe.jpg,TIGER/虎牌,2688,满3900减711,厨房电器,1,strict_utilitarian,严格实用型,functional,,kitchen_appliances,厨房功能电器，主要服务烹饪、加热、备餐等实用任务。
31,1562962,102386,东芝真空沁米炊饭煲10ZWSC家用IH电饭煲多功能电饭锅智能进口内胆,https://img.alicdn.com/bao/uploaded/O1CN01DrkTRY1RX0b8lu8y5_!!6000000002120-0-yinhe.jpg,Toshiba/东芝,2499,满3476减100,厨房电器,1,strict_utilitarian,严格实用型,functional,,kitchen_appliances,厨房功能电器，主要服务烹饪、加热、备餐等实用任务。
32,96990,null,东芝进口白色微波炉家用电烤箱微蒸烤炸一体机台式水波炉SD80旗舰,https://img.alicdn.com/bao/uploaded/O1CN01TaKsbS1oGHFnZ8LF7_!!6000000005197-0-yinhe.jpg,Toshiba/东芝,2299,1件减1100元,厨房电器,1,strict_utilitarian,严格实用型,functional,,kitchen_appliances,厨房功能电器，主要服务烹饪、加热、备餐等实用任务。
33,109235,null,政府补贴美的寻味pro微波炉家用微蒸烤炸一体机蒸烤箱电烤箱G21,https://img.alicdn.com/bao/uploaded/O1CN01OcNmZS1W3lHqjzZpl_!!6000000002733-0-yinhe.jpg,Midea/美的,2199,限时优惠1300元,厨房电器,1,strict_utilitarian,严格实用型,functional,,kitchen_appliances,厨房功能电器，主要服务烹饪、加热、备餐等实用任务。
34,1562342,102386,美的寻味pro微波炉家用微蒸烤炸一体机烤箱蒸箱三合一官方正品G21,https://img.alicdn.com/bao/uploaded/O1CN01OcNmZS1W3lHqjzZpl_!!6000000002733-0-yinhe.jpg,Midea/美的,2199,补贴2601元,厨房电器,1,strict_utilitarian,严格实用型,functional,,kitchen_appliances,厨房功能电器，主要服务烹饪、加热、备餐等实用任务。
35,497243,102386,北鼎电饭煲家用3升IH变频加热多功能烹饪机煮饭锅分体式RD5731,https://img.alicdn.com/bao/uploaded/O1CN01TfjSfE1uKIXqJwUwP_!!6000000006018-0-yinhe.jpg,Buydeem/北鼎,1999,满1070减200,厨房电器,1,strict_utilitarian,严格实用型,functional,,kitchen_appliances,厨房功能电器，主要服务烹饪、加热、备餐等实用任务。
36,28824,110046,HP惠普OJ9120彩色喷墨多功能一体机连续复印扫描传真自动双面手机无线打印9130家用办公专用输稿器9010,https://img.alicdn.com/bao/uploaded/O1CN016x3jGS24zeT3UgAox_!!6000000007462-0-yinhe.jpg,HP/惠普,2199,补贴389元,办公设备/耗材/相关服务,1,strict_utilitarian,严格实用型,functional,,office_task_equipment,办公任务设备，核心利益是打印、复印、扫描、整理或工作效率。
37,65342,null,HP惠普M126a黑白激光打印机复印扫描M126nw无线多功能一体机A4学生家庭家用办公室商务商用三合一M1136,https://img.alicdn.com/bao/uploaded/O1CN01wW6NDv1Mxxvkolopz_!!6000000001502-0-yinhe.jpg,HP/惠普,1479,补贴438元,办公设备/耗材/相关服务,1,strict_utilitarian,严格实用型,functional,,office_task_equipment,办公任务设备，核心利益是打印、复印、扫描、整理或工作效率。
38,40633,110046,兄弟DCP-L2508DW黑白激光打印机复印扫描一体机家用小型手机无线wifi网络自动双面打印高速办公专用a4 2548DW,https://img.alicdn.com/bao/uploaded/O1CN01H4FXd41nF4jjsoI2v_!!6000000005059-0-yinhe.jpg,brother/兄弟,1399,官方8.5折,办公设备/耗材/相关服务,1,strict_utilitarian,严格实用型,functional,,office_task_equipment,办公任务设备，核心利益是打印、复印、扫描、整理或工作效率。
39,65174,null,【政府补贴20%】爱普生办公L6279 6268 6276 6298 6278 3556 3558 M2128打印机墨仓复印扫描传真自动输稿双面,https://img.alicdn.com/bao/uploaded/O1CN01ecFh3v26V5F6TkN1B_!!6000000007666-0-yinhe.jpg,Epson/爱普生,1099,,办公设备/耗材/相关服务,1,strict_utilitarian,严格实用型,functional,,office_task_equipment,办公任务设备，核心利益是打印、复印、扫描、整理或工作效率。
40,12740,110046,网易有道词典笔X6Pro点读笔翻译笔通用英语 单词电子词典笔官方旗舰店学习笔翻译器英语扫描,https://img.alicdn.com/bao/uploaded/O1CN01U747Bc1BtQ6i7YHWP_!!6000000000003-0-yinhe.jpg,有道（数码）,1069,满1522减194,办公设备/耗材/相关服务,1,strict_utilitarian,严格实用型,functional,,office_task_equipment,办公任务设备，核心利益是打印、复印、扫描、整理或工作效率。
41,40315,110046,德国PARI雾化机帕瑞BOY PRO儿童成人老人咳嗽肺炎医用进口雾化器,https://img.alicdn.com/bao/uploaded/O1CN01ZvxOfA1WC0Z8edgZB_!!6000000002751-2-yinhe.png,Pari,3480,满4000减464,医疗器械,1,strict_utilitarian,严格实用型,functional,,health_medical_devices,健康监测/医疗护理相关商品，购买动机以问题解决、可靠性和安全性为主。
42,750703,6,好哥越障电动轮椅智能全自动老人专用折叠轻便残疾人老年人代步车,https://img.alicdn.com/bao/uploaded/O1CN01BaocAw1NQorDlDKsi_!!6000000001565-0-yinhe.jpg,好哥,1180,官方8.8折,医疗器械,1,strict_utilitarian,严格实用型,functional,,health_medical_devices,健康监测/医疗护理相关商品，购买动机以问题解决、可靠性和安全性为主。
43,46446,null,鱼跃轮椅车折叠轻便老年人专用带坐便器代步手动车国家补贴H059B,https://img.alicdn.com/bao/uploaded/O1CN01D9ec5p29Dcj1HsHo7_!!6000000008034-0-yinhe.jpg,鱼跃,649,满469减30,医疗器械,1,strict_utilitarian,严格实用型,functional,,health_medical_devices,健康监测/医疗护理相关商品，购买动机以问题解决、可靠性和安全性为主。
44,1234997,104460,可孚轮椅代步车折叠轻便老人外出专用手动实心胎残疾人多功能旅游,https://img.alicdn.com/bao/uploaded/O1CN01hdEtxj1LR9lqLy5Hy_!!6000000001295-0-yinhe.jpg,可孚,529,,医疗器械,1,strict_utilitarian,严格实用型,functional,,health_medical_devices,健康监测/医疗护理相关商品，购买动机以问题解决、可靠性和安全性为主。
45,15383,110046,政府补贴30%硅基轻享动态血糖仪家用免扎手指24h血糖监测旗舰店,https://img.alicdn.com/bao/uploaded/O1CN01Q3EQoT1cF6zA2ieeQ_!!6000000003570-0-yinhe.jpg,硅基（医药）,458.38,1件8.77折,医疗器械,1,strict_utilitarian,严格实用型,functional,,health_medical_devices,健康监测/医疗护理相关商品，购买动机以问题解决、可靠性和安全性为主。
46,41213,null,飞利浦电动剃须刀男士纯进口新款S9983/S9973刮胡刀官方旗舰店,https://img.alicdn.com/bao/uploaded/O1CN019TliZ11r6bsihOzGl_!!6000000005582-0-yinhe.jpg,Philips/飞利浦,1389,满10.01减10,个人护理/保健/按摩器材,1,strict_utilitarian,严格实用型,functional,,household_personal_auto_tools,家用/个人/车载/数码功能工具，主要解决烹饪、维修、清洁、记录或维护任务。
47,26593,110046,菲仕乐Fissler味达快德国进口不锈钢高压锅 燃气家用防爆压力锅,https://img.alicdn.com/bao/uploaded/O1CN01foyv4Y1P9zXHPrnrC_!!6000000001799-2-yinhe.png,Fissler/菲仕乐,999,官方立减200元,厨房/烹饪用具,1,strict_utilitarian,严格实用型,functional,,household_personal_auto_tools,家用/个人/车载/数码功能工具，主要解决烹饪、维修、清洁、记录或维护任务。
48,49014,61706,【618抢先购】松下大锤子剃须刀男电动往复式刮胡刀政府补贴LM51,https://img.alicdn.com/bao/uploaded/O1CN01005Dx622RdacubW5z_!!6000000007117-0-yinhe.jpg,Panasonic/松下,899,满599减300,个人护理/保健/按摩器材,1,strict_utilitarian,严格实用型,functional,,household_personal_auto_tools,家用/个人/车载/数码功能工具，主要解决烹饪、维修、清洁、记录或维护任务。
49,96494,null,德国WMF福腾宝进口快易锅不锈钢高压锅压力锅安全电磁炉燃气专用,https://img.alicdn.com/bao/uploaded/O1CN01w3jwoj1cnScEuMu9s_!!6000000003645-0-yinhe.jpg,WMF,872.1,满300减100,厨房/烹饪用具,1,strict_utilitarian,严格实用型,functional,,household_personal_auto_tools,家用/个人/车载/数码功能工具，主要解决烹饪、维修、清洁、记录或维护任务。
50,63054,null,【EVA正版联名】品胜绫波丽新世纪福音战士PisenStandBy桌面集合充电站140W氮化镓无线充电器头手机电源插座,https://img.alicdn.com/bao/uploaded/O1CN01qvIdeB1EdnY8cegjc_!!6000000000375-0-yinhe.jpg,Pisen/品胜,799,,3C数码配件,1,strict_utilitarian,严格实用型,functional,,household_personal_auto_tools,家用/个人/车载/数码功能工具，主要解决烹饪、维修、清洁、记录或维护任务。
